8642,2008-02-04 09:31:19,116.14133,39.72999
8642,2008-02-04 09:33:00,116.13902,39.72451
8642,2008-02-04 09:33:50,116.1375,39.72349
8642,2008-02-04 09:35:20,116.13934,39.72459
8642,2008-02-04 09:36:23,116.13943,39.72477
8642,2008-02-04 09:37:31,116.14138,39.72774
8642,2008-02-04 09:38:01,116.14179,39.72817
8642,2008-02-04 09:38:52,116.14191,39.72834
8642,2008-02-04 09:40:02,116.14191,39.72834
8642,2008-02-04 09:42:32,116.14149,39.73161
8642,2008-02-04 09:44:53,116.14358,39.73823
8642,2008-02-04 09:46:03,116.14516,39.74118
8642,2008-02-04 09:46:27,116.14627,39.7433
8642,2008-02-04 09:47:18,116.1483,39.74804
8642,2008-02-04 09:50:05,116.15374,39.75556
8642,2008-02-04 09:51:05,116.15374,39.75556
8642,2008-02-04 09:51:29,116.15374,39.75556
8642,2008-02-04 09:52:56,116.15389,39.75615
8642,2008-02-04 09:56:19,116.16941,39.76824
8642,2008-02-04 09:57:09,116.1797,39.76421
8642,2008-02-04 09:59:38,116.20788,39.76291
8642,2008-02-04 10:01:09,116.22232,39.76611
8642,2008-02-04 10:01:32,116.22597,39.76725
8642,2008-02-04 10:03:29,116.24828,39.76846
8642,2008-02-04 10:06:10,116.27669,39.77183
8642,2008-02-04 10:06:34,116.28005,39.77336
8642,2008-02-04 10:07:21,116.28765,39.77685
8642,2008-02-04 10:11:12,116.31542,39.79258
8642,2008-02-04 10:11:35,116.31614,39.79301
8642,2008-02-04 10:11:42,116.31673,39.79339
8642,2008-02-04 10:16:04,116.33471,39.80454
8642,2008-02-04 10:16:54,116.33537,39.80495
8642,2008-02-04 10:20:55,116.34296,39.82932
8642,2008-02-04 10:21:46,116.35471,39.82963
8642,2008-02-04 10:25:47,116.37619,39.83101
8642,2008-02-04 10:26:49,116.37619,39.83104
8642,2008-02-04 10:27:18,116.37619,39.83104
8642,2008-02-04 10:27:18,116.37619,39.83104
8642,2008-02-04 10:28:18,116.3762,39.83132
8642,2008-02-04 10:29:28,116.37816,39.83268
8642,2008-02-04 10:30:49,116.37817,39.83266
8642,2008-02-04 10:31:51,116.37817,39.83266
8642,2008-02-04 10:32:19,116.37817,39.83266
8642,2008-02-04 10:34:30,116.37597,39.83051
8642,2008-02-04 10:35:21,116.36921,39.83027
8642,2008-02-04 10:36:50,116.35161,39.82981
8642,2008-02-04 10:36:51,116.3514,39.82981
8642,2008-02-04 10:39:19,116.33886,39.82081
8642,2008-02-04 10:40:22,116.33884,39.81083
8642,2008-02-04 10:41:52,116.33705,39.80606
8642,2008-02-04 10:42:04,116.33675,39.80584
8642,2008-02-04 10:44:54,116.33616,39.80541
8642,2008-02-04 10:45:24,116.33608,39.80537
8642,2008-02-04 10:46:54,116.3358,39.8052
8642,2008-02-04 10:48:19,116.33039,39.8019
8642,2008-02-04 10:50:26,116.32126,39.7962
8642,2008-02-04 10:51:36,116.31399,39.79163
8642,2008-02-04 10:52:38,116.30726,39.78745
8642,2008-02-04 10:55:27,116.28925,39.77758
8642,2008-02-04 10:55:27,116.28925,39.77757
8642,2008-02-04 10:56:57,116.28054,39.77357
